Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Equipments	Eigene Equipments	Anzahl fremde Equipments	In Werkstatt	Equipments verkauft	EK netto	Anmietpreis	H?he [mm]	Breite [mm]	L?nge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR817	 - 	Case (GerÃ¤tetransport)	Rack Metal RCA-WMF-9 9U	Rack Metal RCA-WMF-9 9U	 - 	 - 	 - 	Rack Metal RCA-WMF-9 9U	Rack Metal RCA-WMF-9 9U	NULL	 - 	175	 - 	 - 	1	0	1	0	0	127.50	 - 	 - 	 - 	 - 	0.000	0
AR823	 - 	Case (GerÃ¤tetransport)	Case Video/Led Wand fÃ¼r 8 Module	Case Video/Led Wand für 8 Module	 - 	 - 	 - 	Case Video/Led Wand fÃ¼r 8 Module	Case Video/Led Wand für 8 Module	NULL	 - 	 - 	 - 	 - 	19	0	19	0	0	 - 	 - 	760	540	830	47.500	0
AR856	 - 	Case (GerÃ¤tetransport)	JB Lighting P9 / P10 4-fach Case 4-fach Flightcase	JB Lighting P9 / P10 4-fach Case 4-fach Flightcase	 - 	 - 	 - 	JB Lighting P9 / P10 4-fach Case 4-fach Flightcase	JB Lighting P9 / P10 4-fach Case 4-fach Flightcase	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	0.0	 - 	820	600	1170	0.000	0
AR952	 - 	Case (GerÃ¤tetransport)	Allen & Heath CQ18T Soft Case	Allen & Heath CQ18T Soft Case	0.0	0.0	0.0	Allen & Heath CQ18T Soft Case	Allen & Heath CQ18T Soft Case	NULL	0.0	83.19	0.0	 - 	1	0	1	0	0	63.64	 - 	0.0	0.0	0.0	0.000	0
AR974	 - 	Case (GerÃ¤tetransport)	Daily Case 15 Universal  Passend fÃ¼r CQ18T	Daily Case 15 Universal  Passend für CQ18T	0.0	5	0.0	Daily Case 15 Universal  Passend fÃ¼r CQ18T	Daily Case 15 Universal  Passend für CQ18T	NULL	0.0	95	0.0	 - 	1	0	1	0	0	49	 - 	0.0	0.0	0.0	0.000	0
AR369	 - 	Displays	Sharp PN-R 903, LC-Display 90 	1. Sharp PN-R 903, LC-Display 90 &#769; &#769; 2. Flugadapter zu Sharp PN-R 903 LC-Display 90 &#769; &#769; 3. Intel CompuStick Windows 10 4. Adapter HDMI Stecker auf DVI Buchse	 - 	1700	 - 	Sharp PN-R 903, LC-Display 90 &#769; &#769;	1. Sharp PN-R 903, LC-Display 90 &#769; &#769; 2. Flugadapter zu Sharp PN-R 903 LC-Display 90 &#769; &#769; 3. Intel CompuStick Windows 10 4. Adapter HDMI Stecker auf DVI Buchse	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	160.000	0
AR378	 - 	Displays	LG NanoCell 4K TV NANO76 75"	LG NanoCell 4K TV NANO76 75"	 - 	90	 - 	TFT Display 15", Belinea 101555	TFT Display 15", Belinea 101555, silber Netzleitung Schukostecker auf Kaltgerätebuchse Transportkiste für zwei 15" Displays	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR821	 - 	Displays	Led Bildschirm Philips 43PFS6808	Led Bildschirm Philips 43PFS6808	 - 	 - 	 - 	Led Bildschirm Philips 43PFS6808	Led Bildschirm Philips 43PFS6808	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR29	 - 	DJ-Hardware/Controller	Pioneer DJM-2000 NEXUS	Kanalanzahl: 4-Kanal Mixer Mic-Eingänge: 2 Audiointerface: 4 Stereo In/Out ASIO Midi: USB/MIDI Interface über PC/MACUSB-Port Abmessungen: 430 x 409 x 107.9 mm 	50	60	70	Pioneer DJM-2000 NEXUS	Clubmixer Kanalanzahl: 4-Kanal Mixer Bauform: Tabletop Mic-Eingänge: 2 Effekte: 11 verbesserte Isolator-Beateffekte Audiointerface: 4 Stereo In/Out ASIO Midi: USB/MIDI Interface über PC/MACUSB-Port Abmessungen: 430 x 409 x 107.9 mm Besonderheit(en): Großer Multitouch-Farbbildschirm Versandretoure	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	108	409	430	8.600	0
AR80	 - 	DJ-Hardware/Controller	Pioneer CDJ-2000 NXS	DJ-Player mit Kompatibilität mit Mobilgeräten per USB oder Wi-Fi Unterstützung für MP3-, AAC-, WAV- und AIFF-Musikdateien	50	60	70	Pioneer CDJ-2000 NXS	weltweit erster DJ-Player mit Kompatibilität mit Mobilgeräten per USB oder Wi-Fi neu: Beat Sync für perfektes Beat Matching präzises Master Tempo für originalgetreuen Sound neu: Wave Zoom für noch detailliertere Informationen innovative Features für atemberaubende Performances Slip Mode verbesserte Quantisierung Active Loop automatisches Laden von Hot Cues Emergency Loop Track Bewertungen bessere Track Informationen für einfacheres Mixing Beat Countdown Phase Meter Key Analysis Indicator optimiertes Display und komfortableres Browsing Funktion My Settings für sofortigen Zugriff auf persönliche Einstellungen hochwertiger Klang und verbesserter LAN-Port stylishes, robustes Design und vertrautes Layout verbesserte Widerstandseinstellung für das Jog Wheel Steuerung diverser DJ-Software per MIDI/HID Pro DJ-Link ermöglicht bis zu vier per LAN-Kabel verbundenen Playern den gemeinsamen Zugriff auf eine Quelle Unterstützung für MP3-, AAC-, WAV- und AIFF-Musikdateien	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	106	406	320	0.000	0
