Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Anzahl Equipments	Anzahl eigene Equipments	Anzahl fremde Equipments	Anzahl in Werkstatt	Anzahl verkauft	EK netto	Anmietpreis	Höhe [mm]	Breite [mm]	Länge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR449	 - 	Lautsprecher - aktiv	dB Technologies es1203	dB Technologies es1203 inkl. Distanzstange und Verkabelung 2x12"/8x4" VC1" Aktivsystem Class-D Verstärker 3-Kanal Mixer Leistung: 2400 W Peak Frequenzbereich: 35 - 20.000 Hz Maximalpegel: 132 dB Abstrahlwinkel: 97 x 60° 1 Mic/Instrumenten-Kombieingang (XLR/Klinke) 2 Mic/Line-Kombieingänge (XLR/Klinke) Empfang von Bluetooth 1 XLR-Ausgang	80	90	100	dB Technologies es1203	dB Technologies es1203 2x12"/8x4" VC1" Aktivsystem Class-D Verstärker 3-Kanal Mixer Leistung: 2400 W Peak Frequenzbereich: 35 - 20.000 Hz Maximalpegel: 132 dB Abstrahlwinkel: 97 x 60° 1 Mic/Instrumenten-Kombieingang (XLR/Klinke) 2 Mic/Line-Kombieingänge (XLR/Klinke) Empfang von Bluetooth 1 XLR-Ausgang	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	32.600	0
AR456	 - 	Lautsprecher - aktiv	DB Technologies DVA K5	 Akustische Daten Frequency Response [+/- 3dB] 70 - 19,000 Hz Max SPL One Unit: 129 dB RMS Power 500 W Peak Power 1000 W 	40	50	60	DB Technologies DVA K5	DB Technologies DVA K5 Akustische Daten Frequency Response [+/- 3dB] 70 - 19,000 Hz Max SPL One Unit: 129 dB HF 2x1 " Voice Coil HF 1.4 " MF 1x 6.5 " Type MF Neodymium Voice Coil MF 2 " LF 1x8 " Voice Coil LF 2.5 " Type LF Neodymium Directivity (HxV) 100x15° Single unit Verstärker Amp Technology Digipro® G3 Amp Class Class D RMS Power 500 W Peak Power 1000 W 	NULL	 - 	 - 	 - 	 - 	14	14	0	0	0	 - 	 - 	240	580	327	14.200	0
AR457	 - 	Lautsprecher - aktiv	EAW RS 115	Frequency Response 40 Hz -125 kHz Max SPL EAW RS 115 132dB (peak, half space) Subsystem  15in Cone, 3 in Voice Coil, Vented Nominal Beamwidth Horizontal 360° Vertical 360° Power Handling  1500W Connections    	40	50	60	EAW RS 115	Frequency Response 40 Hz -125 kHz Max SPL EAW RS 115 132dB (peak, half space) Subsystem  15in Cone, 3 in Voice Coil, Vented Nominal Beamwidth Horizontal 360° Vertical 360° Power Handling  1500W Connections    	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	450	630	599	32.000	0
AR462	 - 	Lautsprecher - aktiv	EAW 118RS	EAW 118RS	50	55	65	EAW 118RS	EAW 118RS	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	1450	 - 	521	762	681	40.000	0
AR504	 - 	Lautsprecher - aktiv	EAW RS123  2 Way Active Speaker	EAW RS123  2 Way Active Speaker55 Hz  20 kHz Max SPL: 138dB Operating Mode: Bi-Amp LF, HF  	35	45	55	EAW RS123  2 Way Active Speaker	EAW RS123  2 Way Active Speaker55 Hz  20 kHz Max SPL: 138dB Operating Mode: Bi-Amp LF, HF Subsystem:  12 in Cone, 2.5 in Voice Coil 3 in Voice Coil Neodymium Compression Driver, 1.4 in Exit Nominal Beamwidth:  90° Horizontal 60° Vertical Power Handling:  1500W Connections:  Neutrik PowerCON® XLR Input/Loop	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	650	360	380	19.000	0
AR555	 - 	Lautsprecher - aktiv	DB Technologies DVA KS10	1 x 18 Woofer mit 4 VC Semi-Hornloaded 900 W/RMS digipro-Endstufe 900 Watt SMPS Schaltnetzteil 90 - 260 Volt 34 - 120Hz 134 dB SPL max.	50	60	70	DB Technologies DVA KS10	1 x 18 Woofer mit 4 VC Semi-Hornloaded 900 W/RMS digipro-Endstufe 900 Watt SMPS Schaltnetzteil 90 - 260 Volt 34 - 120Hz 134 dB SPL max.	NULL	 - 	1999,00	 - 	 - 	2	2	0	0	0	1230,87	 - 	640	515	720	48.000	0
AR626	 - 	Lautsprecher - aktiv	DB Technologies DVA KS 20 aktiv	DB Technologies DVA KS 20 aktiv  Subwoofer     2 x 18 Woofer mit 4 VC   Semi-Hornloaded     1800 W/RMS digipro-Endstufe     34 - 120Hz     138 dB SPL max.     56-Bit DSP inkl. Delay, X-Over, Limiter     	60	80	100	DB Technologies DVA KS 20 aktiv	DB Technologies DVA KS 20 aktiv  Subwoofer     2 x 18 Woofer mit 4 VC   Semi-Hornloaded     1800 W/RMS digipro-Endstufe     34 - 120Hz     138 dB SPL max.     56-Bit DSP inkl. Delay, X-Over, Limiter     	Db Technologies	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	580	720	100	84.000	0
AR647	 - 	Lautsprecher - aktiv	Montarbo B108 -8" Aktiv-Lautsprecher	Montarbo B108 -8" Aktiv-Lautsprecher	 - 	 - 	 - 	Montarbo B108 -8" Aktiv-Lautsprecher	Montarbo B108 -8" Aktiv-Lautsprecher	NULL	 - 	425	 - 	 - 	2	0	2	0	0	254.00	 - 	 - 	 - 	 - 	0.000	0
AR4	 - 	Lautsprecher - Line Array	L-Acoustics Kudo	L-Acoustic Kudo 2x12 Frequenzgang: 35 Hz-20 kHz Belastbarkeit: 1287 W RMS Schaldruckpegel: 140 (Peak) Vierkanalig verstärkter , 3-weg-aktiver WST ® Fullrange-Lautsprecher 2 x 12 LF + 4 x 5 MF + 2 x 1.75 DOSC HF. Frequenzgang 35 Hz - 20 kHz 	45	55	65	L-Acoustic Kudo	L-Acoustic Kudo 2x12 Frequenzgang: 35 Hz-20 kHz Belastbarkeit: 1287 W RMS Schaldruckpegel: 140 (Peak) Vierkanalig verstärkter , 3-weg-aktiver WST ® Fullrange-Lautsprecher 2 x 12 LF + 4 x 5 MF + 2 x 1.75 DOSC HF. Frequenzgang 35 Hz - 20 kHz Gewicht: 87kg	L-Acoustics	 - 	 - 	 - 	 - 	48	48	0	0	0	 - 	 - 	876	356	689	87.000	0
AR286	 - 	Lautsprecher - Line Array	d&b audio V8 Lautsprecher 3weg 2x10	d&b audio V8 Lautsprecher 3weg 2x10"/8"/2x1,4" 80° horizontal (NLT4) Passiver 3-Wege Hochleistungs-Line-Array-Lautsprecher      Komponenten 2 x 10"/1 x 8"/2 x 1.4"     Abstrahlwinkel 80°     Max. Schalldruck 142 dB 	 - 	 - 	 - 	d&b audio V8 Lautsprecher 3weg 2x10	d&b audio V8 Lautsprecher 3weg 2x10"/8"/2x1,4" 80° horizontal (NLT4)	NULL	 - 	 - 	 - 	 - 	16	11	5	0	0	 - 	 - 	 - 	 - 	 - 	34.000	0
AR287	 - 	Lautsprecher - Line Array	d&b audio Rigging Flugrahmen V-Serie 	d&b audio Rigging Flugrahmen fu&#776;r V-Serie (Z5380) 	 - 	 - 	 - 	d&b audio Rigging Flugrahmen V-Serie 	d&b audio Rigging Flugrahmen fu&#776;r V-Serie (Z5380)	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	 - 	34.000	0
AR328	 - 	Lautsprecher - Line Array	d&b audio Y8 Lautsprecher	d&b audio Y8 Lautsprecher 2weg 2x8"/1,4" 80° x 15° (NLT4)	 - 	50	 - 	d&b audio Y8 Lautsprecher	d&b audio Y8 Lautsprecher 2weg 2x8"/1,4" 80° x 15° (NLT4)	NULL	 - 	 - 	 - 	 - 	10	0	10	0	0	 - 	 - 	257	630	375	20.000	0
AR334	 - 	Lautsprecher - Line Array	d&b audio Rigging Flugrahmen für Y-Serie (Z5	d&b audio Rigging Flugrahmen fu&#776;r Y-Serie (Z5390) 	 - 	20	 - 	d&b audio Rigging Flugrahmen für Y-Serie (Z5	d&b audio Rigging Flugrahmen fu&#776;r Y-Serie (Z5390) 	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	20.000	0
AR337	 - 	Lautsprecher - Line Array	d&b audio Q1 Lautsprecher 2weg 2x10"/1,3" 75° x 15	d&b audio Q1 Lautsprecher 2weg 2x10"/1,3" 75° x 15° (EP5) Belastbarkeit (RMS/peak 10 ms) 400/1600 W     Komponenten 2 x 10"/1.3"     Abstrahlwinkel 75°     Max. Schalldruck 139 dB	 - 	 - 	 - 	d&b audio Q1 Lautsprecher 2weg 2x10"/1,3" 75° x 15	d&b audio Q1 Lautsprecher 2weg 2x10"/1,3" 75° x 15° (EP5)	NULL	 - 	 - 	 - 	 - 	10	0	10	0	0	 - 	 - 	308	580	410	22.000	0
AR338	 - 	Lautsprecher - Line Array	d&b audio Q7 Lautsprecher 2weg 2x10"/1,3" 75° x 40	d&b audio Q7 Lautsprecher 2weg 2x10"/1,3" 75° x 40° (EP5) Passiver 2-Weg-Lautsprecher Belastbarkeit (RMS/peak 10 ms) 400/1600 W     Komponenten 2 x 10"/1.3"     Abstrahlwinkel 75° x 40° CD     Max. Schalldruck 138 dB	 - 	 - 	 - 	d&b audio Q7 Lautsprecher 2weg 2x10"/1,3" 75° x 40	d&b audio Q7 Lautsprecher 2weg 2x10"/1,3" 75° x 40° (EP5)	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	580	308	410	22.000	0
AR340	 - 	Lautsprecher - Line Array	d&b audio Rigging Flugrahmen Q-Serie 	d&b audio Rigging Flugrahmen fu&#776;r Q-Serie (Z5159)	 - 	20	 - 	d&b audio Rigging Flugrahmen Q-Serie (Z5	d&b audio Rigging Flugrahmen fu&#776;r Q-Serie (Z5159)	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	15.000	0
AR497	 - 	Lautsprecher - Line Array	dB Technologies DRK 10	dB Technologies DRK 10 Schwarze Flybar für alle DVA Systeme (T4, T8, T12, K5, S09DP, S10DP, S20DP, S30N, S1518N, S1521N, S2585N, KS20). Bis zu einem Maximalgewichtvon 250 Kg (TUV certified).	25	30	35	dB Technologies DRK 10	dB Technologies DRK 10 Schwarze Flybar für alle DVA Systeme (T4, T8, T12, K5, S09DP, S10DP, S20DP, S30N, S1518N, S1521N, S2585N, KS20). Bis zu einem Maximalgewichtvon 250 Kg (TUV certified).	Db Technologies	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	12.000	0
AR37	 - 	Lautsprecher - Monitor	L Acoustics 115XT High Q	    750 + 300 Watt     SPL: 99 db/W/M     Bestückung: 15 Zoll Speaker / 1,4 Zoll Hochtöner     Anschlüsse: Speakon     	35	45	50	L Acoustics 115XT High Q	    750 + 300 Watt     SPL: 99 db     Bestückung: 15 Zoll Speaker / 1,4 Zoll Hochtöner     Anschlüsse: Speakon     	NULL	 - 	 - 	 - 	 - 	24	24	0	0	0	 - 	 - 	265	580	440	29.000	0
AR162	 - 	Lautsprecher - Monitor	db technologies LVX 12	 db technologies LVX 12 Fullrange Lautsprecher Aktive 12"/1"-Multifunktionsbox 800W PRG DSP 127dB max SPL Class-D digipro Amp 90°x40° CD Horn	35	40	45	db technologies LVX 12	 db technologies LVX 12 Fullrange Lautsprecher	Db Technologies	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	610	360	360	17.000	800
AR276	 - 	Lautsprecher - Monitor	D&B  Max 	D&B d&b Max Lautsprecher 15"/2" 60° x 60° (NL4) 2-Weg-Bühnenmonitor Max. Schalldruck 136 dB Belastbarkeit (RMS/peak 10 ms)250/1200 W	 - 	50	 - 	D&B d&b Max Lautsprecher 15	D&B d&b Max Lautsprecher 15"/2" 60° x 60° (NL4)	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	392	580	507	26.000	0
AR290	 - 	Lautsprecher - Monitor	d&b M4 Buhnenmonitor 15"/1,3" Koaxial, 50°x70° Ab	d&b M4 Buhnenmonitor 15"/1,3" Koaxial, 50°x70° Ab, (EP5) 2-Weg-Bühnenmonitor Max. Schalldruck 140 dB Nennimpedanz8 &#937; Belastbarkeit (RMS/peak 10 ms)400/1600 W	55	65	70	d&b M4 Buhnenmonitor 15"/1,3" Koaxial, 50°x70° Ab,	d&b M4 Buhnenmonitor 15"/1,3" Koaxial, 50°x70° Ab, (EP5)	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	363	580	565	20.000	0
AR417	 - 	Lautsprecher - Monitor	L-Acoustics 12XT	L-Acoustics 12XT Amp Mode: 2-Weg aktiv oder passiv Frequenzbereich: 60 Hz - 18 kHz (+/-3 dB), 50 Hz - 18 kHz (Full Bandwidth) Nennimpedanz: (LF) 8 Ohm, (HF) 8 Ohm nominale Belastbarkeit: (LF) 250 Watt, (HF) 85 Watt empfohlene Verstärkerleistung: (LF) 500 W, (HF) 350 W Nominalschalldruck (1W / 1m): 98,5 dB max. Dauerschalldruck (SPL max.): 126dB / 1 Element Abstrahlverhalten: horizontal 80° konisch LF 1 x 12" weatherproof 4 Voice Coil HMF 1 x 1,4" Kompressionstreiber 	60.00	65.00	70	L-Acoustics 12XT	L-Acoustics 12XT	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	45.00	 - 	580	440	474	29.500	0
AR465	 - 	Lautsprecher - Monitor	dB Technologies Flexsys FM 12	dB Technologies Flexsys FM 12 2-Wege Lautsprechersystem Frequenzbereich: 67 Hz  20.000 Hz maximaler Schalldruck: 126 dB Durchmesser Hochtöner: 1 Zoll Art des Hochtöners: Compression Driver 12 Zoll Woofer Klasse-D-Verstärker Leistung:  300 W (Höhen 60 W+ Tiefen 240 W) Leistung (Program): 600 W Leistung (Peak): 1200 W	30	35	40	dB Technologies Flexsys FM 12	dB Technologies Flexsys FM 12 2-Wege Lautsprechersystem Frequenzbereich: 67 Hz  20.000 Hz maximaler Schalldruck: 126 dB Durchmesser Hochtöner: 1 Zoll Art des Hochtöners: Compression Driver 12 Zoll Woofer Klasse-D-Verstärker Leistung:  300 W (Höhen 60 W+ Tiefen 240 W) Leistung (Program): 600 W Leistung (Peak): 1200 W	Db Technologies	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	210	450	410	17.000	0
AR35	 - 	Lautsprecher - passiv	L Acoustics SB 218	Frequency Response : 28 - 140 Hz (± 3 dB) (X preset) 68 Vrms - 1100 Wrms - 4400 Wpeak - 2200 W - 4 ohms  Array SPL One enclosure : 130 dB (cont) 136 dB (peak) (X preset) Two enclosures : 136 dB (cont) 142 dB (peak) Four enclosures : 142 dB (cont) 148 dB (peak) LF 2 x 18" loudspeakers Power Rating 68 Vrms - 1100 Wrms - 4400 Wpeak - 2200 W - 4 ohms   	40	45	55	L Acoustics SB 218	im Doppelcase(2.83 Vrms @ 1m) 100.5 dB SPL 28 - 200 Hz     Power Rating     68 Vrms - 1100 Wrms - 4400 Wpeak - 2200 W - 4 ohms   	L-Acoustics	 - 	 - 	 - 	 - 	32	32	0	0	0	 - 	 - 	550	1300	700	106.000	0
AR272	 - 	Lautsprecher - passiv	d&b M4 Bühnenmonitor 15"/1,3"	d&b M4 Bu&#776;hnenmonitor 15"/1,3" Koaxial, 50°x70° Abstrahlwinkel, (EP5) Transportkiste fu&#776;r zwei d&b M4	 - 	45	 - 	d&b M4 Bühnenmonitor 15"/1,3"	d&b M4 Bu&#776;hnenmonitor 15"/1,3" Koaxial, 50°x70° Abstrahlwinkel, (EP5) Transportkiste fur zwei d&b M4	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	25	 - 	 - 	 - 	 - 	0.000	0
AR331	 - 	Lautsprecher - passiv	d&b audio V-Subwoofer 1x18", 1x 12" (NLT4)	d&b audio V-Subwoofer 1x18", 1x 12" (NLT4)     Komponenten 18"/12"     Abstrahlwinkel kardioid     Max. Schalldruck 137 dB     Gewicht 64 kg	 - 	50	 - 	d&b audio V-Subwoofer 1x18", 1x 12" (NLT4)	d&b audio V-Subwoofer 1x18", 1x 12" (NLT4)	NULL	 - 	 - 	 - 	 - 	8	0	8	0	0	 - 	 - 	606	628	728	64.000	0
AR335	 - 	Lautsprecher - passiv	d&b C7 Lautsprecher 15"/1,5" 75° x 40° (NL4) inkl.	d&b C7 Lautsprecher 15"/1,5" 75° x 40° (NL4) inkl. Transporthu&#776;lle -Weg-Fullrange-Lautsprecher      Komponenten 15"/1.5"     Abstrahlwinkel 75° x 40°     Max. Schalldruck 138 dB	55	60	65	d&b C7 Lautsprecher 15"/1,5" 75° x 40° (NL4) inkl.	d&b C7 Lautsprecher 15"/1,5" 75° x 40° (NL4) inkl. Transporthu&#776;lle	NULL	 - 	 - 	 - 	 - 	4	2	2	0	0	 - 	 - 	580	580	620	54.000	0
AR336	 - 	Lautsprecher - passiv	d&b C7 Basslautsprecher 18" (NL4) inkl. Transporth	d&b C7 Basslautsprecher 18" (NL4) inkl. Transporthu&#776;lle    Bassreflex-Subwoofer      Komponenten 18"     Max. Schalldruck 135 dB	 - 	50	 - 	d&b C7 Basslautsprecher 18" (NL4) inkl. Transporth	d&b C7 Basslautsprecher 18" (NL4) inkl. Transporthu&#776;lle	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	740	580	620	49.000	0
AR339	 - 	Lautsprecher - passiv	d&b audio Q-Subwoofer 1x18" (EP5)	d&b audio Q-Subwoofer 1x18" (EP5) Passiver 2-Weg-Lautsprecher Belastbarkeit (RMS/peak 10 ms) 400/1600 W     Komponenten 2 x 10"/1.3"     Abstrahlwinkel 75° x 40° CD     Max. Schalldruck 138 dB	50	60	70	d&b audio Q-Subwoofer 1x18" (EP5)	d&b audio Q-Subwoofer 1x18" (EP5)	NULL	 - 	 - 	 - 	 - 	24	24	0	0	0	 - 	 - 	493	580	668	42.000	0
AR161	 - 	Leinwände	Leinwand / Projektionswand 9m x 6m	Leinwand mit Rück oder Aufpro Tuch 	300	370	400	Leinwand / Projektionswand 9m x 6m	Leinwand mit Rück oder Aufpro Tuch 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	6000	9000	 - 	20.000	0
AR326	 - 	Leinwände	Leinwand 2,40x 1x80 inkl. Stativ	Leinwand 2,40x 1x80 inkl. Stativ	 - 	40.00	 - 	Leinwand 2,40x 1x80 inkl. Stativ	Leinwand 2,40x 1x80 inkl. Stativ	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	180	240	 - 	6.000	0
AR24	 - 	Lichteffekte kopfbewegt	Clay Paky A.Leda Wash K10	Clay Paky A.Leda Wash K10	50.00	65.00	80.00	Clay Paky A.Leda Wash K10	echnische Daten für Art.-Nr.: 050602 Farbe	schwarz Betriebsspannung/ Versorgungsspannung	100240V Netzfrequenz	60Hz, 50Hz Leistung	450VA Leistung des Leuchtmittels	19 x 15W RGBW Abstrahlwinkel/Zoom	14°70° Mittl. Leuchtmittel-Lebensdauer	50.000 h Steckverbinder eingangsseitig	XLR5, etherCON, powerCON Steckverbinder ausgangsseitig	XLR5 Kreis-/Kanal-Anzahl	20, 31 oder 96 Pan/Tilt	540°/270° Maße	253 x 358 x 423mm Gewicht (ohne Verpackung)	14kg IP-Klassifizierung	IP20	Clay Paky	4200	4369	4537	 - 	18	18	0	0	0	3800.00	 - 	423	253	358	14.000	0
AR25	 - 	Lichteffekte kopfbewegt	Clay Paky Alpha Spot HPE 1500	Farbe	schwarz Betriebsspannung/ Versorgungsspannung	200240V Netzfrequenz	60Hz, 50Hz Leistung	2.000VA Leistung des Leuchtmittels	1.500W Farbtemperatur	6.000K Vorschaltgerät	elektronisch Abstrahlwinkel/Zoom	7°57° Sockel/Lampentyp	PGj50 Kreis-/Kanal-Anzahl	36/40	160	195	215	Clay Paky Alpha Spot HPE 1500	Farbe	schwarz Betriebsspannung/ Versorgungsspannung	200240V Netzfrequenz	60Hz, 50Hz Leistung	2.000VA Leistung des Leuchtmittels	1.500W Farbtemperatur	6.000K Vorschaltgerät	elektronisch Abstrahlwinkel/Zoom	7°57° Sockel/Lampentyp	PGj50 Kreis-/Kanal-Anzahl	36/40	Clay Paky	9243	9663	10159	 - 	12	12	0	0	0	7000,00	 - 	835	500	480	49.500	0
AR27	 - 	Lichteffekte kopfbewegt	Clay Paky Profile 1500	Farbe	schwarz Betriebsspannung/ Versorgungsspannung	200240V Netzfrequenz	60Hz, 50Hz Leistung	2.000VA Leistung des Leuchtmittels	1.500W Farbtemperatur	6.000K Vorschaltgerät	elektronisch Abstrahlwinkel/Zoom	7°60° Sockel/Lampentyp	PGj50 Kreis-/Kanal-Anzahl	39/43	128	150	175	Clay Paky Profile 1500	Farbe	schwarz Betriebsspannung/ Versorgungsspannung	200240V Netzfrequenz	60Hz, 50Hz Leistung	2.000VA Leistung des Leuchtmittels	1.500W Farbtemperatur	6.000K Vorschaltgerät	elektronisch Abstrahlwinkel/Zoom	7°60° Sockel/Lampentyp	PGj50 Kreis-/Kanal-Anzahl	39/43	Clay Paky	 - 	 - 	 - 	 - 	12	12	0	0	0	 - 	 - 	835	480	500	49.500	0
AR28	 - 	Lichteffekte kopfbewegt	Clay Paky Alpha Beam 1500	Betriebsspannung/ Versorgungsspannung	200240V Netzfrequenz	60Hz, 50Hz Leistung	2.000VA Leistung des Leuchtmittels	1.500W Farbtemperatur	6.000K Vorschaltgerät	elektronisch Abstrahlwinkel/Zoom	4° Sockel/Lampentyp	PGj50 Kreis-/Kanal-Anzahl	24/28	128	150	175	Clay Paky Alpha Beam 1500	Betriebsspannung/ Versorgungsspannung	200240V Netzfrequenz	60Hz, 50Hz Leistung	2.000VA Leistung des Leuchtmittels	1.500W Farbtemperatur	6.000K Vorschaltgerät	elektronisch Abstrahlwinkel/Zoom	4° Sockel/Lampentyp	PGj50 Kreis-/Kanal-Anzahl	24/28	Clay Paky	 - 	 - 	 - 	 - 	23	23	0	0	0	 - 	 - 	846	480	500	40.000	0
AR141	 - 	Lichteffekte kopfbewegt	Clay Paky Alpha Wash 1500	Clay Paky Alpha Wash 1500      1500 W discharge lamp     11°- 74° electronic  zoom     CMY color system + 2 color wheels (6+6) + linear Golden CTO     Indexable and rotating ovalizing filter     Rotating diamond effect filter     Frost filter Art-Net / RDM  	125	150	175	Clay Paky Alpha Wash 1500	Clay Paky Alpha Wash 1500      1500 W discharge lamp     11°- 74° electronic  zoom     CMY color system + 2 color wheels (6+6) + linear Golden CTO     Indexable and rotating ovalizing filter     Rotating diamond effect filter     Frost filter Art-Net / RDM	Clay Paky	 - 	 - 	 - 	 - 	14	14	0	0	0	 - 	 - 	785	488	480	45.000	0
AR142	 - 	Lichteffekte kopfbewegt	 American DJ Inno Color Beam Z19 	 American DJ Inno Color Beam Z19  LED-Moving Head mit Wash-Effekt, motorisiertem Zoom und 190 W Leistung	40	45	55	American DJ Inno Color Beam Z19 	 American DJ Inno Color Beam Z19  LED-Moving Head mit Wash-Effekt, motorisiertem Zoom und 190 W Leistung	ADJ Supply Europe B.V.	1000	1080	1129	 - 	4	4	0	0	0	788,30	 - 	360	320	224	9.200	0
AR145	 - 	Lichteffekte kopfbewegt	ADJ Vizi BSW300 Hybrid	ADJ Vizi BSW300 Hybrid LED 300 Watt 376 x 325 x 545mm 	40	55	60	ADJ Vizi BSW300 Hybrid	ADJ Vizi BSW300 Hybrid LED 300 Watt 376 x 325 x 545mm 	ADJ Supply Europe B.V.	1300	1350	1500	 - 	4	4	0	0	0	1169,00	 - 	545	376	325	22.000	0
AR175	 - 	Lichteffekte kopfbewegt	Martin Mac Aura XB	Martin Mac Aura XB	65	85	110	Martin Mac Aura XB	Martin Mac Aura XB	Martin Light	 - 	4650	 - 	 - 	8	0	8	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR176	 - 	Lichteffekte kopfbewegt	Martin RUSH MH 3 Beam	Martin RUSH MH 3 Beam	 - 	50	 - 	Martin RUSH MH 3 Beam	Martin RUSH MH 3 Beam	Martin Light	 - 	 - 	 - 	 - 	6	0	6	0	0	 - 	 - 	489	321	418	20.500	0
AR296	 - 	Lichteffekte kopfbewegt	Martin Mac Quantum Wash (5pol	Martin Mac Quantum Wash (5pol DMX) Adapterleitung Schukostecker auf Powercon ca.2m Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern Omega Bracket mit QuicktriggerClamp fu&#776;r Mac Viper, Quantum, 700 & TW1 Transportcase fu&#776;r zwei Mac Quantum	45	55	65	Martin Mac Quantum Wash (5pol	Martin Mac Quantum Wash (5pol DMX) Adapterleitung Schukostecker auf Powercon ca.2m Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern Omega Bracket mit QuicktriggerClamp fu&#776;r Mac Viper, Quantum, 700 & TW1 Transportcase fu&#776;r zwei Mac Quantum	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	511	452	431	21.000	0
AR342	 - 	Lichteffekte kopfbewegt	Chauvet Rogue R2X Beam	Rogue R2X Beam      Light Source: Osram Sirius 231 W lamp, 7900 K, 2,000 hours life expectancy     Color Temperature (at full): 7293 K     Beam Angle: 1.8°     Field Angle: 3.7°     Lumens  Source: 10,500     Lumens - Output: 7,821     Illuminance (total): 150,684 lux @ 15 m 	40	60	 - 	Rogue R2X Beam	Rogue R2X Beam	NULL	 - 	 - 	 - 	 - 	21	7	14	0	0	 - 	 - 	409	327	490	20.600	0
AR372	 - 	Lichteffekte kopfbewegt	Martin Mac Viper Performance (5pol DMX)	Martin Mac Viper Performance (5pol DMX) Adapterleitung Schukostecker auf Powercon ca.2m Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern Omega Bracket mit QuicktriggerClamp für Mac Viper, Quantum, 700 & TW1 Transportcase für zwei Mac Viper	 - 	50	 - 	Martin Mac Viper Performance (5pol DMX)	Martin Mac Viper Performance (5pol DMX) Adapterleitung Schukostecker auf Powercon ca.2m Fangseil 5mm/100cm mit zwei unverlierbaren Kettenschnellverbindern Omega Bracket mit QuicktriggerClamp für Mac Viper, Quantum, 700 & TW1 Transportcase für zwei Mac Viper	NULL	 - 	 - 	 - 	 - 	28	0	28	0	0	 - 	 - 	748	472	566	37.900	0
AR402	 - 	Lichteffekte kopfbewegt	ADJ Focus Spot 4z	ADJ Focus Spot 4z Source: Cool White LED Engine, 24.000K 7000 Lumen Individual LED wattage : 200W 	20	25	30	ADJ Focus Spot 4z	ADJ Focus Spot 4z	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	457	279	182	10.000	0
AR450	 - 	Lichteffekte kopfbewegt	Vizi Hex Wash7	Vizi Hex Wash7  7 RGBAW+UV LEDs  Individuelle LED-Leistung: 15W  2 Betriebsmodis: Program Mode oder DMX Steuerung  3 DMX Kanal Modus: 19, 21 und 27 Kanäle  RGBWA+UV Farbmischung  64 eingebaute Farbpresets Verbindungen:  3- und 5-poliger Locking DMX Ein- und Ausgang  Locking Power In/Out    Abmessungen: 300 x 200 x 400mm   Gewicht: 8,5 kg	30	35	40	Vizi Hex Wash7	Vizi Hex Wash7	ADJ Supply Europe B.V.	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	400	200	300	8.500	0
